"epoch","validation_mae"
1,0.274153986014426
2,0.454316844313871
3,0.108744170516729
4,0.191236771130934
5,0.221166899614036
6,0.213920727348886
7,0.202754545176867
8,0.47062150798738
9,0.19857592638582
10,0.200720960414037
11,0.29099892321974
12,0.184930997015908
13,0.0387856850051321
14,0.0564784190617502
15,0.201756213535555
16,0.190164483524859
17,0.191424146585632
18,0.272101933183149
19,0.197931814391632
20,0.214863997651264
21,0.281991451024078
22,0.374226612213533
23,0.534996707364917
24,0.196228301944211
25,0.188204809394665
26,0.0937881019082852
27,0.27176915287273
28,0.10641517797485
29,0.102218010183424
30,0.102994953549933
31,0.111534804210532
32,0.439658570324536
33,0.197892347746529
34,0.190958994545508
35,0.0991865076241083
36,0.215694539505057
37,0.369550623779651
38,0.274042743910104
39,0.0393046599114314
40,0.0322978196898475
41,0.13529251171276
42,0.362823659786955
43,0.281880525080487
44,0.366296788910404
45,0.193713664403185
46,0.111258955753874
47,0.196764533186797
48,0.110499494895339
49,0.118136404722463
50,0.521337252564263
51,0.204398555494845
52,0.289887105626985
53,0.206265813764185
54,0.132353430474177
55,0.113624920789152
56,0.181955794268288
57,0.193494766962249
58,0.540782356355339
59,0.382527591730468
60,0.270274207531475
61,0.438512329384685
62,0.446330070402473
63,0.457462230417877
64,0.115380247822031
65,0.273542568134144
66,0.26716827385826
67,0.101978062419221
68,0.103404178470373
69,0.267112809093669
70,0.267258240759838
71,0.108411852875724
72,0.192364377656486
73,0.111169014254119
74,0.288466113456525
75,0.440155177155975
76,0.137270696042106
77,0.274193601706065
78,0.200849916762672
79,0.023886060831137
80,0.37357954827603
81,0.100073751073796
82,0.298353070346639
83,0.0256973948096856
84,0.360512700979598
85,0.287634164700285
86,0.0556105031399056
87,0.0294508600840345
88,0.366296882077586
89,0.184302413696423
90,0.266869909351226
91,0.267239749769215
92,0.282750937261153
93,0.290370345721021
94,0.111055591073819
95,0.207339100446552
96,0.119633428263478
97,0.449253688962199
98,0.266463178524282
99,0.37160268239677
100,0.110371549148113
101,0.206211748579517
102,0.294083730317652
103,0.467681966978125
104,0.190552727039903
105,0.101053595205303
106,0.0983174161287025
107,0.217769126384519
108,0.206230155029334
109,0.0980771576520056
110,0.195488945185207
111,0.197263302141801
112,0.150525375083089
113,0.278757569822483
114,0.178221277997363
115,0.276208761753514
116,0.204270628455561
117,0.195581382361706
118,0.126215448242147
119,0.382139355642721
120,0.195750266697723
121,0.281640181876719
122,0.183619378693402
123,0.2842509156093
124,0.282787828240544
125,0.390333373844624
126,0.193621710385196
127,0.202364903595299
128,0.125512911006808
129,0.18844498260878
130,0.189113179640844
131,0.360269720200449
132,0.284507249144372
133,0.28210237766616
134,0.205989499040879
135,0.292788269952871
136,0.19029243318364
137,0.191014457424171
138,0.225349082890898
139,0.189479975460563
140,0.179573524801526
141,0.112331268750131
142,0.291791254770942
143,0.274097201321274
144,0.107560955430381
145,0.28286433997564
146,0.282251283479854
147,0.18459822293371
148,0.205955482705031
149,0.12144561833702
150,0.453912587731611
151,0.201148676674347
152,0.361342083150521
153,0.374078710749745
154,0.19512168506626
155,0.115491173800547
156,0.29071896604728
157,0.118579943361692
158,0.108984968892764
159,0.196357865026221
160,0.184136026632041
161,0.275392831093632
162,0.127768480451778
163,0.195746302290354
164,0.118745013803709
165,0.119726260914467
166,0.189831728732679
167,0.202198514691554
168,0.119818616518751
169,0.275133918179199
170,0.200110801449046
171,0.286266070709098
172,0.612792971532326
173,0.357718556420878
174,0.276278750633355
175,0.201791787764523
176,0.103549519833177
177,0.355465550569352
178,0.198446826660074
179,0.0946198739227839
180,0.125586781953461
181,0.437107264157385
182,0.0231265986454673
183,0.454541171621531
184,0.284248273028061
185,0.110207653790712
186,0.190865553705953
187,0.218338281754404
188,0.367034895112738
189,0.203714504884556
190,0.287759615038522
191,0.27827542682644
192,0.133239371981472
193,0.274008727702312
194,0.106452087278012
195,0.0419300612527877
196,0.188869879953563
197,0.270826366136316
198,0.0488629505503923
199,0.0236822349717841
200,0.12131629147334
201,0.276948274241295
202,0.281586043804418
203,0.279462600080296
204,0.210924710298423
205,0.193790570099372
206,0.354242871864699
207,0.198724228772335
208,0.362950516538694
209,0.112366755399853
210,0.111868903762661
211,0.0264553904999048
212,0.187150528933853
213,0.185171338543296
214,0.273749896686058
215,0.19631942572305
216,0.288114845869131
217,0.197004869766533
218,0.115455203829333
219,0.139843447355088
220,0.360771525918972
221,0.192235105880536
222,0.609209314989857
223,0.36089838356711
224,0.280738246825058
225,0.361120321357157
226,0.127637596661225
227,0.191476648021489
228,0.0125161219853908
229,0.206658015213907
230,0.195729136478622
231,0.189369535178412
232,0.287390864663757
233,0.18247609474929
234,0.390333365648985
235,0.376023885398172
236,0.0998335571144708
237,0.278350692847744
238,0.108079073636327
239,0.0316874112933874
240,0.289996628265362
241,0.371029247762635
242,0.283973598666489
243,0.115750004188158
244,0.112699532788247
245,0.184269402129576
246,0.116158134734724
247,0.177851609094068
248,0.112811857857741
249,0.289757605583873
250,0.28107102997601
251,0.208171126013622
252,0.208321905881166
253,0.19169882168062
254,0.109114406991284
255,0.200723462202586
256,0.279145807540044
257,0.0395806562155485
258,0.174579352908768
259,0.109262284194119
260,0.316786808276083
261,0.109890719840769
262,0.130281338142231
263,0.2050271349377
264,0.210554960649461
265,0.190573712135665
266,0.0548699887469411
267,0.298871732270345
268,0.453336826572195
269,0.369553190097213
270,0.281954478099942
271,0.206043957627844
272,0.194822924723849
273,0.117672724672593
274,0.376874322257936
275,0.274840670148842
276,0.362395809288137
277,0.103219301230274
278,0.099204971769359
279,0.0941943461657502
280,0.201296576485038
281,0.203755441238172
282,0.103364706400316
283,0.103087326313835
284,0.203142855723854
285,0.281105532380752
286,0.266743053914979
287,0.368736773170531
288,0.132464235182852
